% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION jk

@ATTRIBUTE P_value	REAL
@ATTRIBUTE S_entropy    REAL
@ATTRIBUTE F3   REAL
@ATTRIBUTE class 	{'coding','non_coding'}

@DATA
7.34558,2.29463,0.03856,'coding'
0.56945,2.50738,0.01123,'non_coding'
6.91104,3.08605,0.04444,'coding'
22.33999,3.10500,0.06863,'coding'
29.29311,3.02190,0.07000,'coding'
10.50319,3.14849,0.05025,'coding'
5.13744,2.85539,0.04870,'coding'
6.50196,2.46625,0.05100,'coding'
11.58766,3.00913,0.05231,'coding'
7.06717,2.47291,0.05374,'coding'
3.71994,2.81507,0.03397,'coding'
6.82292,2.72750,0.04738,'coding'
6.63426,2.53661,0.04607,'coding'
8.89538,2.82782,0.06493,'coding'
0.29189,0.00000,0.05013,'coding'
0.97591,0.00000,0.03840,'coding'
0.31513,1.00000,0.04325,'non_coding'
16.82639,3.15949,0.05393,'coding'
15.60791,3.06817,0.05291,'coding'
26.69767,3.03100,0.05174,'coding'
14.82051,2.64264,0.07600,'coding'
9.47789,2.89106,0.06135,'coding'
8.15140,3.21925,0.03178,'coding'
5.63242,2.25000,0.07716,'coding'
9.65629,3.05748,0.06683,'coding'
11.12409,3.04491,0.06046,'coding'
0.38830,2.00000,0.00933,'non_coding'
4.18108,3.02864,0.02893,'coding'
8.51658,2.66353,0.08918,'coding'
3.98649,2.40564,0.05387,'coding'
4.77228,2.58496,0.04725,'coding'
6.46346,3.02717,0.06913,'coding'
8.29308,2.68872,0.08013,'coding'
36.21028,2.84216,0.04988,'coding'
0.60183,2.32193,0.00863,'non_coding'
16.02399,2.63274,0.04805,'coding'
0.82000,1.58496,0.03280,'non_coding'
10.24324,2.87291,0.07910,'coding'
6.56231,3.02206,0.06133,'coding'
7.99679,2.60123,0.03854,'coding'
11.63016,3.10451,0.04176,'coding'
8.28148,2.90089,0.03681,'coding'
14.22790,2.78936,0.05591,'coding'
10.25455,3.17489,0.05327,'coding'
0.60377,1.58496,0.02278,'non_coding'
22.61149,2.97260,0.07639,'coding'
5.32210,1.92193,0.11960,'coding'
0.27273,1.58496,0.00826,'non_coding'
16.20357,2.69443,0.05787,'coding'
4.77506,2.55805,0.03339,'coding'
6.56842,2.30719,0.04609,'coding'
11.46625,3.00025,0.04738,'coding'
8.45992,2.72548,0.05354,'coding'
10.23958,3.03379,0.05333,'coding'
1.18605,2.32193,0.02758,'coding'
8.87481,3.10391,0.04090,'coding'
7.13808,2.64559,0.05973,'coding'
9.51637,2.81507,0.08497,'coding'
15.76066,2.90347,0.07470,'coding'
2.30789,1.84237,0.03523,'coding'
14.44283,3.21897,0.05242,'coding'
11.51735,3.01057,0.07266,'coding'
2.14247,2.52164,0.03456,'coding'
1.01361,1.00000,0.04137,'coding'
2.78125,1.84237,0.04346,'coding'
4.40288,2.82782,0.03168,'coding'
3.06331,2.72193,0.03423,'coding'
9.84885,2.61006,0.05915,'coding'
2.80594,1.90564,0.03844,'coding'
4.92617,3.26393,0.03306,'coding'
11.20012,2.99572,0.03944,'coding'
0.29167,1.58496,0.01042,'non_coding'
0.30564,0.00000,0.01823,'coding'
15.55458,3.18443,0.04568,'coding'
7.38377,2.75272,0.04858,'coding'
1.78431,2.00000,0.05248,'coding'
29.28403,3.05282,0.04397,'coding'
8.19843,3.11507,0.03511,'coding'
17.76014,2.90195,0.05473,'coding'
17.63095,2.93957,0.06996,'coding'
11.76211,3.12452,0.04952,'coding'
1.51682,2.25163,0.02783,'coding'
0.31985,1.00000,0.01328,'non_coding'
8.72836,2.98418,0.05211,'coding'
3.14524,2.15564,0.04493,'coding'
