% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION jk

@ATTRIBUTE P_value	REAL
@ATTRIBUTE S_entropy    REAL
@ATTRIBUTE F3   REAL
@ATTRIBUTE class 	{'coding','non_coding'}

@DATA
7.34558,2.28416,0.03856,'coding'
0.56945,2.52164,0.01123,'non_coding'
6.91104,2.44644,0.04444,'coding'
22.33999,3.21351,0.06863,'coding'
29.29311,2.62430,0.07000,'coding'
10.50319,2.44163,0.05025,'coding'
5.13744,1.95021,0.04870,'coding'
6.50196,2.40564,0.05100,'coding'
11.58766,2.89629,0.05231,'coding'
7.06717,2.40564,0.05374,'coding'
3.71994,2.23593,0.03397,'coding'
6.82292,2.94770,0.04738,'coding'
6.63426,2.50326,0.04607,'coding'
8.89538,2.50326,0.06493,'coding'
0.29189,0.0,0.05013,'coding'
0.97591,0.0,0.03840,'coding'
16.82639,3.10869,0.05393,'coding'
15.60791,2.75506,0.05291,'coding'
26.69767,2.91017,0.05174,'coding'
14.82051,2.41160,0.07600,'coding'
9.47789,2.72193,0.06135,'coding'
8.15140,2.69866,0.03178,'coding'
5.63242,2.00000,0.07716,'coding'
9.65629,2.72548,0.06683,'coding'
11.12409,2.85539,0.06046,'coding'
0.38830,1.00000,0.00933,'non_coding'
4.18108,2.72548,0.02893,'coding'
8.51658,1.79248,0.08918,'coding'
3.98649,1.50000,0.05387,'coding'
4.77228,1.79248,0.04725,'coding'
6.46346,2.25163,0.06913,'coding'
8.29308,1.79248,0.08013,'coding'
36.21028,3.26292,0.04988,'coding'
0.60183,1.00000,0.00863,'non_coding'
16.02399,2.95400,0.04805,'coding'
10.24324,2.75000,0.07910,'coding'
6.56231,2.52164,0.06133,'coding'
7.99679,3.02699,0.03854,'coding'
11.63016,3.04411,0.04176,'coding'
8.28148,2.87291,0.03681,'coding'
14.22790,2.82782,0.05591,'coding'
10.25455,2.75163,0.05327,'coding'
22.61149,3.18137,0.07639,'coding'
5.32210,1.00000,0.11960,'coding'
0.27273,1.00000,0.00826,'non_coding'
16.20357,2.82189,0.05787,'coding'
4.77506,2.72548,0.03339,'coding'
6.56842,2.19716,0.04609,'coding'
11.46625,2.40564,0.04738,'coding'
8.45992,2.92193,0.05354,'coding'
10.23958,3.08496,0.05333,'coding'
1.18605,1.00000,0.02758,'coding'
8.87481,2.61058,0.04090,'coding'
7.13808,2.23593,0.05973,'coding'
9.51637,2.52164,0.08497,'coding'
15.76066,3.03915,0.07470,'coding'
2.30789,1.50000,0.03523,'coding'
14.44283,3.01688,0.05242,'coding'
11.51735,2.72193,0.07266,'coding'
2.14247,2.00000,0.03456,'coding'
1.01361,0.00000,0.04137,'coding'
2.78125,2.00000,0.04346,'coding'
4.40288,2.64160,0.03168,'coding'
3.06331,2.32193,0.03423,'coding'
9.84885,2.48171,0.05915,'coding'
2.80594,1.50000,0.03844,'coding'
4.92617,2.94770,0.03306,'coding'
11.20012,2.85828,0.03944,'coding'
0.30564,0.0,0.01823,'coding'
15.55458,2.98832,0.04568,'coding'
7.38377,2.44644,0.04858,'coding'
1.78431,1.00000,0.05248,'coding'
29.28403,3.11222,0.04397,'coding'
8.19843,2.78990,0.03511,'coding'
17.76014,2.85590,0.05473,'coding'
17.63095,2.38286,0.06996,'coding'
11.76211,2.60624,0.04952,'coding'
1.51682,0.91830,0.02783,'coding'
8.72836,3.09580,0.05211,'coding'
3.14524,2.00000,0.04493,'coding'
1.70186,2.32193,0.02114,'coding'
1.60253,1.00000,0.02343,'non_coding'
1.88674,2.75000,0.01457,'coding'
1.02528,1.58496,0.01606,'non_coding'
2.54579,1.58496,0.05595,'coding'
30.56546,3.03140,0.06725,'coding'
5.59064,2.94770,0.03923,'coding'
22.42552,2.80592,0.05126,'coding'
22.05907,2.84411,0.05467,'coding'
15.69964,2.55283,0.04779,'coding'
0.67633,1.50000,0.00980,'coding'
22.62266,3.16815,0.04458,'coding'
1.64029,1.50000,0.02360,'coding'
0.67698,1.58496,0.01396,'non_coding'
6.17995,2.58496,0.03177,'coding'
12.29178,2.28416,0.06521,'coding'
9.05211,2.41160,0.04492,'coding'
10.44091,2.87382,0.02460,'coding'
5.74155,2.00000,0.08321,'coding'
